# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Feb  5 08:20:20 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0254 0.25579 10.00000 0.6508930922 2.3525381088    0.651 -1.010  3.6028  4.624    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -7.42e-15      0.00 7.083e-01 2.680e-01 4.267e-03 1.152e-03 1.045e-02 -1.000 2.375e-02 7.294 7.721 8.608 6.800
0.0254 0.25579 10.00000 0.7004466057 2.3781390190    0.700 -0.841  3.6329  4.608    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-14      0.00 7.110e-01 2.654e-01 4.233e-03 1.143e-03 1.037e-02 -1.000 2.358e-02 6.872 7.128 7.867 6.299
0.0254 0.25579 10.00000 0.7183432579 2.3863925934    0.718 -0.778  3.6452  4.605    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-14      0.00 7.119e-01 2.646e-01 4.200e-03 1.139e-03 1.034e-02 -1.000 2.351e-02 6.714 6.904 7.586 6.112
0.0254 0.25579 10.00000 0.7500000000 2.3998889923    0.750 -0.668  3.6662  4.598    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-14      0.00 7.135e-01 2.631e-01 4.144e-03 1.133e-03 1.029e-02 -1.000 2.340e-02 6.441 6.529 7.127 5.798
0.0254 0.25579 10.00000 0.7733148336 2.4090206623    0.773 -0.596  3.6765  4.580    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-14      0.00 7.154e-01 2.613e-01 4.119e-03 1.126e-03 1.023e-02 -1.000 2.328e-02 6.259 6.306 6.867 5.603
0.0254 0.25579 10.00000 0.7989107966 2.4183430672    0.799 -0.516  3.6876  4.559    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-14      0.00 7.176e-01 2.594e-01 4.091e-03 1.119e-03 1.017e-02 -1.000 2.308e-02 6.061 6.069 6.593 5.394
0.0254 0.25579 10.00000 0.8000000119 2.4187245369    0.800 -0.513  3.6881  4.558    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-14      0.00 7.177e-01 2.593e-01 4.090e-03 1.118e-03 1.017e-02 -1.000 2.308e-02 6.052 6.059 6.582 5.386
0.0254 0.25579 10.00000 0.8035866618 2.4199724197    0.803 -0.502  3.6896  4.555    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-14      0.00 7.180e-01 2.590e-01 4.086e-03 1.117e-03 1.016e-02 -1.000 2.305e-02 6.024 6.025 6.543 5.356
0.0254 0.25579 10.00000 0.8241705298 2.4268932343    0.824 -0.436  3.6984  4.536    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-14      0.00 7.199e-01 2.572e-01 4.062e-03 1.111e-03 1.010e-02 -1.000 2.296e-02 5.861 5.837 6.328 5.190
0.0254 0.25579 10.00000 0.8425256014 2.4327378273    0.842 -0.378  3.7060  4.518    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-14      0.00 7.215e-01 2.556e-01 4.041e-03 1.105e-03 1.005e-02 -1.000 2.284e-02 5.716 5.671 6.142 5.043
